Family,Species,French Name,Latin Name,Species Code,Num
Skuas and Jaegers (Stercorariidae),Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,PAJA,1
Skuas and Jaegers (Stercorariidae),Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,LTJA,1
"Auks, Murres, and Puffins (Alcidae)",Dovekie,Mergule nain,Alle alle,DOVE,2
"Auks, Murres, and Puffins (Alcidae)",Common Murre,Guillemot marmette,Uria aalge,COMU,1
"Auks, Murres, and Puffins (Alcidae)",Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,TBMU,1
"Auks, Murres, and Puffins (Alcidae)",Razorbill,Petit Pingouin,Alca torda,RAZO,1
"Auks, Murres, and Puffins (Alcidae)",Black Guillemot,Guillemot à miroir,Cepphus grylle,BLGU,1
"Auks, Murres, and Puffins (Alcidae)",Pigeon Guillemot,Guillemot colombin,Cepphus columba,PIGU,1
"Auks, Murres, and Puffins (Alcidae)",Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,MAMU,1
"Auks, Murres, and Puffins (Alcidae)",Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,ANMU,2
"Auks, Murres, and Puffins (Alcidae)",Atlantic Puffin,Macareux moine,Fratercula arctica,ATPU,1
"Gulls, Terns, and Skimmers (Laridae)",Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,BLKI,1
"Gulls, Terns, and Skimmers (Laridae)",Sabine's Gull,Mouette de Sabine,Xema sabini,SAGU,1
"Gulls, Terns, and Skimmers (Laridae)",Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,BOGU,1
"Gulls, Terns, and Skimmers (Laridae)",Little Gull,Mouette pygmée,Hydrocoloeus minutus,LIGU,2
"Gulls, Terns, and Skimmers (Laridae)",Laughing Gull,Mouette atricille,Leucophaeus atricilla,LAGU,1
"Gulls, Terns, and Skimmers (Laridae)",Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,FRGU,1
"Gulls, Terns, and Skimmers (Laridae)",Heermann's Gull,Goéland de Heermann,Larus heermanni,HEEG,1
"Gulls, Terns, and Skimmers (Laridae)",Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,RBGU,1
"Gulls, Terns, and Skimmers (Laridae)",Western Gull,Goéland d'Audubon,Larus occidentalis,WEGU,1
"Gulls, Terns, and Skimmers (Laridae)",Yellow-footed Gull,Goéland de Cortez,Larus livens,YFGU,2
"Gulls, Terns, and Skimmers (Laridae)",California Gull,Goéland de Californie,Larus californicus,CAGU,1
