Cranes (Gruidae),Whooping Crane,Grue blanche,Grus americana,WHCR,2
Thick-knees (Burhinidae),Double-striped Thick-knee,Oedicnème bistrié,Burhinus bistriatus,DSTK,5
Stilts and Avocets (Recurvirostridae),Black-winged Stilt,Échasse blanche,Himantopus himantopus,BWST,5
Stilts and Avocets (Recurvirostridae),Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,BNST,1
Stilts and Avocets (Recurvirostridae),American Avocet,Avocette d'Amérique,Recurvirostra americana,AMAV,1
Oystercatchers (Haematopodidae),Eurasian Oystercatcher,Huîtrier pie,Haematopus ostralegus,EUOY,5
Oystercatchers (Haematopodidae),American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,AMOY,1
Oystercatchers (Haematopodidae),Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,BLOY,1
Lapwings and Plovers (Charadriidae),Northern Lapwing,Vanneau huppé,Vanellus vanellus,NOLA,4
Lapwings and Plovers (Charadriidae),Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,BBPL,1
Lapwings and Plovers (Charadriidae),European Golden-Plover,Pluvier doré,Pluvialis apricaria,EUGP,4
Lapwings and Plovers (Charadriidae),American Golden-Plover,Pluvier bronzé,Pluvialis dominica,AMGP,1
Lapwings and Plovers (Charadriidae),Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,PAGP,2
Lapwings and Plovers (Charadriidae),Eurasian Dotterel,Pluvier guignard,Charadrius morinellus,EUDO,4
Lapwings and Plovers (Charadriidae),Killdeer,Pluvier kildir,Charadrius vociferus,KILL,1
Lapwings and Plovers (Charadriidae),Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,CRPL,3
Lapwings and Plovers (Charadriidae),Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,SEPL,1
Lapwings and Plovers (Charadriidae),Piping Plover,Pluvier siffleur,Charadrius melodus,PIPL,2
Lapwings and Plovers (Charadriidae),Little Ringed Plover,Pluvier petit-gravelot,Charadrius dubius,LRPL,5
Lapwings and Plovers (Charadriidae),Lesser Sand-Plover,Pluvier de Mongolie,Charadrius mongolus,LSAP,3
Lapwings and Plovers (Charadriidae),Greater Sand-Plover,Pluvier de Leschenault,Charadrius leschenaultii,GSAP,5
Lapwings and Plovers (Charadriidae),Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,WIPL,1
Lapwings and Plovers (Charadriidae),Collared Plover,Pluvier de d'Azara,Charadrius collaris,COPL,5
Lapwings and Plovers (Charadriidae),Mountain Plover,Pluvier montagnard,Charadrius montanus,MOPL,2
Lapwings and Plovers (Charadriidae),Snowy Plover,Pluvier neigeux,Charadrius nivosus,SNPL,1
Jacanas (Jacanidae),Northern Jacana,Jacana du Mexique,Jacana spinosa,NOJA,4
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Upland Sandpiper,Maubèche des champs,Bartramia longicauda,UPSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,BTCU,2
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Whimbrel,Courlis corlieu,Numenius phaeopus,WHIM,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Little Curlew,Courlis nain,Numenius minutus,LICU,5
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Eskimo Curlew,Courlis esquimau,Numenius borealis,ESCU,6
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Long-billed Curlew,Courlis à long bec,Numenius americanus,LBCU,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Far Eastern Curlew,Courlis de Sibérie,Numenius madagascariensis,FECU,4
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Slender-billed Curlew,Courlis à bec grêle,Numenius tenuirostris,SBCU,5
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Eurasian Curlew,Courlis cendré,Numenius arquata,EUCU,5
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Bar-tailed Godwit,Barge rousse,Limosa lapponica,BTGO,2
